0 0 4.800000000000e+01
0 1 -1.600000000000e+01
0 3 -1.600000000000e+01
1 1 4.800000000000e+01
1 0 -1.600000000000e+01
1 2 -1.600000000000e+01
1 4 -1.600000000000e+01
2 2 4.800000000000e+01
2 1 -1.600000000000e+01
2 5 -1.600000000000e+01
3 3 6.400000000000e+01
3 4 -1.600000000000e+01
3 0 -1.600000000000e+01
3 6 -1.600000000000e+01
4 4 6.400000000000e+01
4 3 -1.600000000000e+01
4 5 -1.600000000000e+01
4 1 -1.600000000000e+01
4 7 -1.600000000000e+01
5 5 6.400000000000e+01
5 4 -1.600000000000e+01
5 2 -1.600000000000e+01
5 8 -1.600000000000e+01
6 6 6.400000000000e+01
6 7 -1.600000000000e+01
6 3 -1.600000000000e+01
6 9 -1.600000000000e+01
7 7 6.400000000000e+01
7 6 -1.600000000000e+01
7 8 -1.600000000000e+01
7 4 -1.600000000000e+01
7 10 -1.600000000000e+01
8 8 6.400000000000e+01
8 7 -1.600000000000e+01
8 5 -1.600000000000e+01
8 11 -1.600000000000e+01
9 9 4.800000000000e+01
9 10 -1.600000000000e+01
9 6 -1.600000000000e+01
10 10 4.800000000000e+01
10 9 -1.600000000000e+01
10 11 -1.600000000000e+01
10 7 -1.600000000000e+01
11 11 4.800000000000e+01
11 10 -1.600000000000e+01
11 8 -1.600000000000e+01
12 12 4.800000000000e+01
12 13 -1.600000000000e+01
12 16 -1.600000000000e+01
13 13 6.400000000000e+01
13 12 -1.600000000000e+01
13 14 -1.600000000000e+01
13 17 -1.600000000000e+01
14 14 6.400000000000e+01
14 13 -1.600000000000e+01
14 15 -1.600000000000e+01
14 18 -1.600000000000e+01
15 15 4.800000000000e+01
15 14 -1.600000000000e+01
15 19 -1.600000000000e+01
16 16 4.800000000000e+01
16 17 -1.600000000000e+01
16 12 -1.600000000000e+01
16 20 -1.600000000000e+01
17 17 6.400000000000e+01
17 16 -1.600000000000e+01
17 18 -1.600000000000e+01
17 13 -1.600000000000e+01
17 21 -1.600000000000e+01
18 18 6.400000000000e+01
18 17 -1.600000000000e+01
18 19 -1.600000000000e+01
18 14 -1.600000000000e+01
18 22 -1.600000000000e+01
19 19 4.800000000000e+01
19 18 -1.600000000000e+01
19 15 -1.600000000000e+01
19 23 -1.600000000000e+01
20 20 4.800000000000e+01
20 21 -1.600000000000e+01
20 16 -1.600000000000e+01
21 21 6.400000000000e+01
21 20 -1.600000000000e+01
21 22 -1.600000000000e+01
21 17 -1.600000000000e+01
22 22 6.400000000000e+01
22 21 -1.600000000000e+01
22 23 -1.600000000000e+01
22 18 -1.600000000000e+01
23 23 4.800000000000e+01
23 22 -1.600000000000e+01
23 19 -1.600000000000e+01
